i,c,l1_i,l1_c
cloth,clothes,布,服
close,closed,近い,クローズド
like,want,よう,たい
no,not,いいえ,ない
presented,produced,提示,生産
equipment,facilities,機器,施設
product,show,製品,ショー
sea,beach,海,ビーチ
played,performed,演奏,実行
play,perform,再生,実行
gives,causes,与える,引き起こす
reduction,discount,削減,割引
up,on,アップ,上
show,ticket,ショー,チケット
fee,price,料金,価格
responsibility,fault,責任,フォールト
trouble,problem,トラブル,問題
done,booked,行わ,予約
cloth,clothing,布,衣類
big,great,大きな,素晴らしい
stuff,staff,もの,スタッフ
sincerely,faithfully,誠実,忠実
extremely,very,極めて,とても
rocker,locker,ロッカー,ロッカー
cloth,clothing,布,衣類
has,is,は,は
usual,ordinary,いつも,普通
time,event,時間,イベント
information,description,情報,説明
creation,invention,作成,発明
painstaking,demanding,折れる,厳しい
electrical,electric,電気,電気
seriously,carefully,真剣,注意深く
form,means,フォーム,手段
literally,absolutely,文字通り,絶対
after,for,後,ため
then,also,それから,また
soon,quickly,早く,すばやく
sometime,sometimes,いつか,時々
later,late,後,遅く
played,performed,演奏,実行
spend,use,過ごす,使用
cure,treat,治す,扱う
totally,quite,全く,かなり
cloth,clothing,布,衣類
very,really,とても,本当
neatly,smart,きちんと,スマート
prefer,like,好む,よう
enter,contain,入力,含む
suggest,make,示唆,作る
faithfully,sincerely,忠実,誠実
does,is,は,は
we've,we're,weve,いた
blows,brows,打撃,眉
turn,change,回す,変更
fine,well,罰金,よく
quick,quickly,クイック,すばやく
like,want,よう,たい
few,small,少数,小さな
express,give,表現,与える
attendance,regard,出席,点
teachers,tutors,教師,チューター
less,little,少ない,少し
payment,pay,支払,有料
points,improvements,ポイント,改善
cloth,clothing,布,衣類
stage,performance,ステージ,パフォーマンス
grateful,happy,感謝,幸せ
keep,get,保つ,取得
work,working,仕事,作業
care,worry,気,心配
neatly,smart,きちんと,スマート
greatly,significantly,大幅,大幅
role,performance,役割,パフォーマンス
sun-burn,sun,日焼け,太陽
big,broad,大きな,広い
cloth,clothing,布,衣類
improving,advances,改善,進歩
improving,improvements,改善,改善
say,express,言う,表現
question,subject,質問,件名
elements,facts,要素,事実
serious,problematic,深刻,問題
played,appeared,演奏,登場
cast,actor,キャスト,俳優
longer,more,長く,より
meet,see,満たす,見る
act,appear,行動,表示
fan,fun,ファン,楽しみ
greater,better,大きい,良い
hire,hair,レンタル,髪
therefore,then,したがって,それから
starting,starring,開始,主演
changing,change,変更,変化
up,on,アップ,上
discounted,reduced,割引,減少
humanity,man,人類,男
moment,time,瞬間,時間
put,do,置く,行う
realized,held,実現,開催
realized,held,実現,開催
realized,organized,実現,編成
too,very,すぎる,とても
otherwise,also,さもなければ,また
glasses,glass,メガネ,ガラス
think,discuss,考える,話し合う
living,life,リビング,人生
faithfully,sincerely,忠実,誠実
anything,something,何でも,もの
faithfully,sincerely,忠実,誠実
tender,gentle,入札,優しい
citizen,people,市民,人々
strongest,greatest,最強,最大
dorm,dome,寮,ドーム
stuff,staff,もの,スタッフ
stuff,staff,もの,スタッフ
grass,glass,草,ガラス
travel,trip,旅行,旅行
effect,affect,効果,影響
travel,trip,旅行,旅行
services,institutions,サービス,機関
then,so,それから,ので
heritages,monuments,遺産,モニュメント
get,become,取得,なる
facilities,attractions,施設,見どころ
highest,tallest,最高,高い
get,go,取得,行く
are,include,は,含める
see,meet,見る,満たす
is,does,は,は
gain,get,得る,取得
highest,tallest,最高,高い
visit,go,訪問,行く
scene,view,シーン,ビュー
visit,go,訪問,行く
instead,also,代り,また
visiting,going,訪問,つもり
choices,ways,選択肢,方法
good,nice,良い,ニース
elder,older,姉,古い
higher,tall,高い,背
make,prepare,作る,準備
cloths,clothes,布,服
need,ask,必要,尋ねる
living,staying,生活,滞在
living,staying,生活,滞在
exciting,excited,エキサイティング,興奮
sign,signature,サイン,署名
