c,i,id,l1_c,l1_i,language,type,code,l2_sim_cc_5,l2_sim_cc_10,l2_sim_cc_25,l2_sim_cc_50,l2_sim_cc_75,l2_sim_cc_100,l1_sim_cc_5,l1_sim_cc_10,l1_sim_cc_25,l1_sim_cc_50,l1_sim_cc_75,l1_sim_cc_100,l2_sim_wiki_5,l2_sim_wiki_10,l2_sim_wiki_25,l2_sim_wiki_50,l2_sim_wiki_75,l2_sim_wiki_100,l2_sim_polyglot_5,l2_sim_polyglot_10,l2_sim_polyglot_25,l2_sim_polyglot_50,l2_sim_polyglot_75,l2_sim_polyglot_100,l1_sim_polyglot_5,l1_sim_polyglot_10,l1_sim_polyglot_25,l1_sim_polyglot_50,l1_sim_polyglot_75,l1_sim_polyglot_100
plans,projects,person_2799,plans,projectes,Catalan,RN,ca,0.3159140646457672,0.2895716726779938,0.26110583543777466,0.2464462220668793,0.2355959713459015,0.2289222478866577,0.5340597629547119,0.5097456574440002,0.5133014321327211,0.5082491040229797,0.4973651170730591,0.4942753911018372,0.2566236257553101,0.2638554275035858,0.2166944444179535,0.19409605860710144,0.1871715188026428,0.1850736141204834,0.6892560124397278,0.6856150031089783,0.6523849964141846,0.6422896385192871,0.6367113590240479,0.6364477872848511,0.7065472602844238,0.7198657989501953,0.709139347076416,0.6812419295310974,0.6763333082199097,0.6674607992172241
independence,freedom,person_2132,independència,llibertat,Catalan,RN,ca,0.4782995581626892,0.4554834365844727,0.4443379640579224,0.4168410003185272,0.4171261787414551,0.3986313343048096,0.498862624168396,0.4831199944019318,0.4603155553340912,0.4495135545730591,0.4342380166053772,0.4305478930473328,0.4029516577720642,0.3722700476646423,0.3528554439544678,0.3275262117385864,0.3112560510635376,0.30856794118881226,0.6441677212715149,0.636554479598999,0.6332584619522095,0.6215813159942627,0.6081734895706177,0.601868212223053,0.6735203266143799,0.6585328578948975,0.6560460329055786,0.656316876411438,0.647446870803833,0.6464966535568237
stars,starts,person_2127,estrelles,comença,Catalan,RN,ca,0.06822684407234192,0.06864172220230103,0.06554262340068817,0.06294573843479156,0.05911505967378616,0.05615207180380821,0.16840633749961853,0.16743043065071106,0.17743822932243347,0.17434877157211304,0.17303571105003354,0.17558661103248596,0.12234334647655487,0.10050490498542786,0.09805943071842194,0.1000889241695404,0.10347535461187364,0.10575374960899353,0.3406369090080261,0.3378027379512787,0.312806636095047,0.32327955961227417,0.31574705243110657,0.3096489906311035,-0.08686169981956482,-0.07127191126346588,-0.0576358363032341,-0.06810545921325684,-0.06580057740211487,-0.07073676586151123
time,hours,person_2127,temps,hores,Catalan,RN,ca,0.4640174806118012,0.4072752594947815,0.3767932653427124,0.3734127879142761,0.3591424226760864,0.35412973165512085,0.3809322714805603,0.3595188856124878,0.3469277024269104,0.34967464208602905,0.35266020894050604,0.3495131433010101,0.4338764846324921,0.4413008093833923,0.3680081963539124,0.2985771894454956,0.2780742645263672,0.2623310685157776,0.4081271290779114,0.33114954829216003,0.27009567618370056,0.2366118431091309,0.21530619263648987,0.2036450207233429,0.2540011405944824,0.3082011938095093,0.2779330611228943,0.2709081470966339,0.2533942461013794,0.2499886304140091
coming,following,person_2127,venint,següents,Catalan,RJ,ca,0.1835143715143204,0.16606229543685913,0.17509296536445618,0.1703786849975586,0.1652720868587494,0.1614769995212555,0.18213605880737305,0.181614950299263,0.21153151988983154,0.2180192619562149,0.22270143032073966,0.2255189418792725,0.24517759680747986,0.21207579970359802,0.191004142165184,0.1716412901878357,0.15754714608192444,0.1500544250011444,0.2524869441986084,0.2696375548839569,0.2745418846607208,0.2682979702949524,0.2588538229465485,0.25846680998802185,0.017321093007922173,-0.0028448153752833605,-0.01928369142115116,-0.02743557095527649,-0.03177516907453537,-0.024451058357954025
equipment,material,person_2127,equip,material,Catalan,RN,ca,0.2793424129486084,0.2514062821865082,0.2294180393218994,0.22506223618984225,0.2238284945487976,0.219888523221016,0.35202643275260925,0.34010523557662964,0.32312971353530884,0.3168612420558929,0.3100280165672302,0.31222331523895264,0.2613688409328461,0.2411012053489685,0.21410953998565674,0.20524786412715912,0.2008387744426728,0.1961210072040558,0.6206389665603638,0.6246597766876221,0.5919228792190552,0.5613598823547363,0.5501292943954468,0.5373786687850952,0.49078845977783203,0.48934274911880493,0.4646705389022827,0.46778953075408936,0.4679417610168457,0.45995640754699707
years,editions,person_1433,anys,edicions,Catalan,RN,ca,0.17464333772659302,0.14794126152992249,0.14073073863983154,0.13350412249565125,0.13450253009796145,0.13393984735012054,0.32125627994537354,0.301451176404953,0.2902902960777283,0.2870282530784607,0.28676021099090576,0.2873286008834839,0.09032896906137466,0.07570505142211914,0.07650628685951233,0.06512054800987244,0.06904895603656769,0.06971555948257446,0.4070998132228851,0.40606552362442017,0.40956181287765503,0.37885722517967213,0.3653861880302429,0.3577064573764801,0.43018993735313416,0.4529295563697815,0.4383445680141449,0.43231940269470215,0.4201241135597229,0.4117460250854492
sincerely,faithfully,person_2132,sincerament,fidelment,Catalan,RY,ca,0.34077179431915283,0.32544708251953125,0.3217964768409729,0.2979416847229004,0.2894834578037262,0.2768603563308716,0.2751428782939911,0.27590692043304443,0.2895409464836121,0.2899819612503052,0.2891799211502075,0.28911322355270386,0.33496326208114624,0.30807402729988104,0.2708606719970703,0.2648465633392334,0.26764702796936035,0.2606129050254822,0.6742516756057739,0.6815580129623413,0.6807746291160583,0.6882055401802063,0.6904889345169067,0.6892237663269043,0.5421409606933594,0.5615782737731934,0.5466611385345459,0.5203260779380798,0.507154643535614,0.499131441116333
actor,character,person_1826,actor,caràcter,Catalan,RN,ca,0.4227777719497681,0.4070366322994232,0.3687728047370911,0.3429889678955078,0.32668426632881165,0.3154010772705078,0.2295271456241608,0.2336466610431671,0.24239493906497955,0.25501179695129395,0.2641641199588776,0.2665989100933075,0.40516728162765503,0.37971964478492737,0.3443579375743866,0.3385950326919556,0.3313913345336914,0.3357216417789459,0.6287091970443726,0.5945819616317749,0.5546020269393921,0.5327130556106567,0.5192519426345825,0.5052945017814636,0.47343623638153076,0.4623081684112549,0.45941802859306335,0.46051323413848877,0.4534512162208557,0.4510018825531006
financial,economical,person_2132,financera,econòmica,Catalan,RJ,ca,0.23791909217834475,0.2291310429573059,0.21435517072677607,0.1908281296491623,0.1920834481716156,0.1845259666442871,0.7152676582336426,0.6903789043426514,0.6701573133468628,0.6359592080116272,0.6231465339660645,0.6085879802703857,0.03576575964689255,0.057397693395614624,0.0562579333782196,0.06515218317508698,0.06887423992156982,0.06742511689662932,0.562161922454834,0.5473476648330688,0.5445925593376161,0.5153089165687561,0.5024925470352173,0.5020968317985535,0.8174238801002502,0.7956440448760986,0.7809972763061523,0.7629027962684631,0.741921067237854,0.7262901663780212
