l1,type,i,c,id,l1_i,l1_c
Russian,RV,propose,suggest,person_624,предложить,предложить
Russian,RV,suppose,think,person_624,предполагать,считать
Russian,RN,people,public,person_624,люди,общественности
Russian,RY,faithfully,sincerely,person_624,верно,Искренне
Russian,RJ,common,familiar,person_624,общий,знакомый
Russian,RV,make,do,person_624,делать,делать
Turkish,RJ,little,small,person_1562,küçük,küçük
Turkish,RV,made,had,person_1562,yapılmış,vardı
German,RV,tell,give,person_180,sagen,geben
German,RJ,harder,stricter,person_180,Schwerer,strenger
German,RV,use,wear,person_180,benutzen,tragen
Turkish,RJ,moist,damp,person_2135,nemli,nemli
Turkish,RJ,insufficient,inadequate,person_2135,yetersiz,yetersiz
Japanese,RN,citizen,people,person_2121,市民,人
Japanese,RN,cloth,clothing,person_2121,布,衣類
Spanish,RV,announce,said,person_578,anunciar,dijo
Polish,RN,Mr,Ms,person_1549,Pan,Ms
Polish,RY,specially,especially,person_1549,specjalnie,w szczególności
Polish,RV,would,should,person_1549,by,powinien
Polish,RN,place,part,person_1549,miejsce,część
Polish,RV,write,tell,person_1549,pisać,powiedzieć
Polish,RN,study,course,person_1549,badanie,kierunek
Polish,RV,don't,won't,person_1549,nie rób tego,przyzwyczajenie
Russian,RV,getting,acquiring,person_342,получение,приобретение
Russian,RN,dancing,dance,person_342,танцы,танец
Russian,RY,faithfully,sincerely,person_342,верно,Искренне
Russian,RN,man,person,person_342,человек,человек
German,RN,place,space,person_144,Platz,Platz
German,RV,bring,deliver,person_144,bringen,liefern
Italian,RV,put,include,person_150,mettere,includere
Italian,RN,compositors,composers,person_150,compositori,compositori
Italian,RV,wear,dress,person_150,indossare,vestito
Italian,RN,possibility,opportunity,person_226,possibilità,opportunità
Italian,RV,love,appreciate,person_226,amore,apprezzare
Italian,RN,possibility,opportunity,person_226,possibilità,opportunità
Italian,RN,choice,decision,person_226,scelta,decisione
Italian,RV,set,organize,person_226,impostato,organizzare
Italian,RJ,right,fine,person_226,destra,bene
Italian,RV,getting,having,person_226,ottenere,avendo
Italian,RY,no,not,person_192,no,non
Italian,RV,do,have,person_192,fare,avere
Italian,RN,sons,children,person_192,figli maschi,bambini
Italian,RY,faithfully,sincerely,person_192,fedelmente,Cordiali saluti
Italian,RV,supported,suited,person_151,supportato,adatto
Italian,RN,organization,situation,person_151,organizzazione,situazione
Italian,RV,let,make,person_151,permettere,rendere
Italian,RV,let,cause,person_151,permettere,causa
Italian,RN,pubs,bars,person_151,pub,barre
Italian,RJ,small,low,person_151,piccolo,Basso
Catalan,RN,starts,stars,person_2127,comença,estrelles
Catalan,RJ,short,low,person_2127,curt,baix
Catalan,RN,hours,time,person_2127,hores,temps
Catalan,RJ,following,coming,person_2127,següent,arribant
Catalan,RN,material,equipment,person_2127,material,equips
Russian,RV,speak,talk,person_2251,говорить,говорить
Russian,RJ,usual,normal,person_2251,обычный,нормальный
Russian,RN,possibility,opportunity,person_1003,возможность,возможность
Russian,RY,extremely,really,person_1003,очень,действительно
Russian,RV,make,have,person_1003,делать,иметь
