id,language,type,code,l2_sim_cc_5,neighbors,overlap
person_2799,Catalan,RN,ca,0.3159140646457672,10,0.2895716726779938
person_2421,Catalan,RV,ca,0.1971191167831421,10,0.17589223384857178
person_1465,Catalan,RN,ca,0.591592013835907,10,0.5009773969650269
person_1465,Catalan,RN,ca,0.21040001511573792,10,0.18749487400054932
person_1465,Catalan,RV,ca,0.22547751665115356,10,0.19497139751911163
person_1465,Catalan,RN,ca,0.21040001511573792,10,0.18749487400054932
person_1465,Catalan,RV,ca,0.43249982595443726,10,0.42405253648757935
person_1465,Catalan,RV,ca,0.4349801540374756,10,0.41187024116516113
person_2421,Catalan,RY,ca,0.34219878911972046,10,0.33667248487472534
person_1465,Catalan,RJ,ca,0.40752723813056946,10,0.39028310775756836
person_1883,Catalan,RJ,ca,0.3299005925655365,10,0.27690067887306213
person_1883,Catalan,RV,ca,0.6210205554962158,10,0.5691430568695068
person_1883,Catalan,RV,ca,0.6448183655738831,10,0.6456886529922485
person_1883,Catalan,RV,ca,0.1540442705154419,10,0.1490042507648468
person_1883,Catalan,RY,ca,0.34077179431915283,10,0.32544708251953125
person_1883,Catalan,RV,ca,0.42981475591659546,10,0.4115571975708008
person_1883,Catalan,RN,ca,0.12599578499794006,10,0.11830528825521469
person_1465,Catalan,RN,ca,0.08595867455005646,10,0.0794937014579773
person_2421,Catalan,RV,ca,0.43259361386299133,10,0.47128599882125854
person_2767,Catalan,RV,ca,0.23640266060829163,10,0.23561282455921173
person_2767,Catalan,RV,ca,0.4749283790588379,10,0.4547375440597534
person_471,Catalan,RN,ca,0.4664924144744873,10,0.4337632656097412
person_471,Catalan,RV,ca,0.4231981635093689,10,0.4228300452232361
person_1642,Catalan,RJ,ca,0.51343834400177,10,0.5028496980667114
person_1642,Catalan,RJ,ca,0.359252005815506,10,0.32605600357055664
person_1642,Catalan,RJ,ca,0.51343834400177,10,0.5028496980667114
person_1642,Catalan,RJ,ca,0.359252005815506,10,0.32605600357055664
person_1642,Catalan,RV,ca,0.35512012243270874,10,0.34050309658050537
person_1642,Catalan,RN,ca,0.43818366527557373,10,0.4414810538291931
person_1642,Catalan,RV,ca,0.2525222897529602,10,0.23368006944656372
person_1642,Catalan,RV,ca,0.2525222897529602,10,0.23368006944656372
person_1642,Catalan,RV,ca,0.20617938041687012,10,0.19448891282081604
person_1642,Catalan,RN,ca,0.43818366527557373,10,0.4414810538291931
person_2175,Catalan,RJ,ca,0.7897936105728149,10,0.7065021395683289
person_2175,Catalan,RV,ca,0.2621304392814636,10,0.25580817461013794
person_2175,Catalan,RV,ca,0.4188849925994873,10,0.4253319203853607
person_2767,Catalan,RV,ca,0.37288472056388855,10,0.35348132252693176
person_2767,Catalan,RV,ca,0.44593214988708496,10,0.454314261674881
person_2544,Catalan,RN,ca,0.31820130348205566,10,0.3002955913543701
person_471,Catalan,RV,ca,0.1735989898443222,10,0.16831323504447937
person_2544,Catalan,RN,ca,0.3406493663787842,10,0.30875325202941895
person_2544,Catalan,RN,ca,0.24117326736450195,10,0.24418094754219055
person_772,Catalan,RV,ca,0.23361673951148987,10,0.201581671833992
person_772,Catalan,RV,ca,0.5295467972755432,10,0.470090389251709
person_772,Catalan,RV,ca,0.34956416487693787,10,0.3271337151527405
person_772,Catalan,RV,ca,0.3277006149291992,10,0.32577091455459595
person_764,Catalan,RV,ca,0.16233360767364502,10,0.13455002009868622
person_764,Catalan,RV,ca,0.2902175784111023,10,0.2503931522369385
person_1999,Catalan,RV,ca,0.3681098222732544,10,0.33137473464012146
person_772,Catalan,RN,ca,0.23678305745124817,10,0.22974497079849243
person_1999,Catalan,RV,ca,0.37078362703323364,10,0.34941011667251587
person_1999,Catalan,RV,ca,0.3296188414096832,10,0.32252222299575806
person_1999,Catalan,RV,ca,0.12529975175857544,10,0.09582418203353882
person_1999,Catalan,RN,ca,0.2859300673007965,10,0.2865166664123535
person_2777,Catalan,RJ,ca,0.598691463470459,10,0.5148543119430542
person_2777,Catalan,RN,ca,0.25758516788482666,10,0.23530283570289612
person_2777,Catalan,RV,ca,0.20877805352210999,10,0.1980142593383789
person_1687,Catalan,RV,ca,0.48686450719833374,10,0.47666072845458984
