c,i,id,l1_c,l1_i,language,type,code,l2_sim_cc_5,l2_sim_cc_10,l2_sim_cc_25,l2_sim_cc_50,l2_sim_cc_75,l2_sim_cc_100,l1_sim_cc_5,l1_sim_cc_10,l1_sim_cc_25,l1_sim_cc_50,l1_sim_cc_75,l1_sim_cc_100,l2_sim_wiki_5,l2_sim_wiki_10,l2_sim_wiki_25,l2_sim_wiki_50,l2_sim_wiki_75,l2_sim_wiki_100,l2_sim_polyglot_5,l2_sim_polyglot_10,l2_sim_polyglot_25,l2_sim_polyglot_50,l2_sim_polyglot_75,l2_sim_polyglot_100,l1_sim_polyglot_5,l1_sim_polyglot_10,l1_sim_polyglot_25,l1_sim_polyglot_50,l1_sim_polyglot_75,l1_sim_polyglot_100
plans,projects,person_2799,plans,projectes,Catalan,RN,ca,0.3159140646457672,0.2895716726779938,0.26110583543777466,0.2464462220668793,0.2355959713459015,0.2289222478866577,0.5340597629547119,0.5097456574440002,0.5133014321327211,0.5082491040229797,0.4973651170730591,0.4942753911018372,0.2566236257553101,0.2638554275035858,0.2166944444179535,0.19409605860710144,0.1871715188026428,0.1850736141204834,0.6924867033958435,0.6807630062103271,0.6661374568939209,0.6544423103332521,0.6464245319366455,0.6493707895278931,0.7519423961639404,0.7440265417098999,0.7261285781860352,0.7058498859405518,0.6943991780281067,0.6883577108383179
independence,freedom,person_2132,independència,llibertat,Catalan,RN,ca,0.4782995581626892,0.4554834365844727,0.4443379640579224,0.4168410003185272,0.4171261787414551,0.3986313343048096,0.498862624168396,0.4831199944019318,0.4603155553340912,0.4495135545730591,0.4342380166053772,0.4305478930473328,0.4029516577720642,0.3722700476646423,0.3528554439544678,0.3275262117385864,0.3112560510635376,0.30856794118881226,0.6441677808761597,0.6356825828552246,0.64142906665802,0.6140320897102356,0.6116894483566284,0.6044535040855408,0.666178286075592,0.6615185737609863,0.6520709991455078,0.6642375588417053,0.6666100025177002,0.6616492867469788
stars,starts,person_2127,estrelles,comença,Catalan,RN,ca,0.06822684407234192,0.06864172220230103,0.06554262340068817,0.06294573843479156,0.05911505967378616,0.05615207180380821,0.16840633749961853,0.16743043065071106,0.17743822932243347,0.17434877157211304,0.17303571105003354,0.17558661103248596,0.12234334647655487,0.10050490498542786,0.09805943071842194,0.1000889241695404,0.10347535461187364,0.10575374960899353,0.3367139995098114,0.3101090788841248,0.3062661290168762,0.30808424949646,0.30209922790527344,0.31234845519065857,-0.09558373689651489,-0.05271066725254059,-0.03738502785563469,-0.04163670539855957,-0.04057466238737106,-0.04000496864318848
time,hours,person_2127,temps,hores,Catalan,RN,ca,0.4640174806118012,0.4072752594947815,0.3767932653427124,0.3734127879142761,0.3591424226760864,0.35412973165512085,0.3809322714805603,0.3595188856124878,0.3469277024269104,0.34967464208602905,0.35266020894050604,0.3495131433010101,0.4338764846324921,0.4413008093833923,0.3680081963539124,0.2985771894454956,0.2780742645263672,0.2623310685157776,0.4049302935600281,0.3327081799507141,0.27960434556007385,0.2476358711719513,0.2193642258644104,0.20938557386398315,0.2538797855377197,0.31656911969184875,0.2980647087097168,0.2843071222305298,0.2735893130302429,0.2678597867488861
coming,following,person_2127,venint,següents,Catalan,RJ,ca,0.1835143715143204,0.16606229543685913,0.17509296536445618,0.1703786849975586,0.1652720868587494,0.1614769995212555,0.18213605880737305,0.181614950299263,0.21153151988983154,0.2180192619562149,0.22270143032073966,0.2255189418792725,0.24517759680747986,0.21207579970359802,0.191004142165184,0.1716412901878357,0.15754714608192444,0.1500544250011444,0.274148166179657,0.2886184453964233,0.31089505553245544,0.281858503818512,0.28285670280456543,0.2791491746902466,0.053142596036195755,0.028941314667463303,0.0034538833424448967,-0.00048493058420717716,0.012008162215352058,0.015254158526659012
equipment,material,person_2127,equip,material,Catalan,RN,ca,0.2793424129486084,0.2514062821865082,0.2294180393218994,0.22506223618984225,0.2238284945487976,0.219888523221016,0.35202643275260925,0.34010523557662964,0.32312971353530884,0.3168612420558929,0.3100280165672302,0.31222331523895264,0.2613688409328461,0.2411012053489685,0.21410953998565674,0.20524786412715912,0.2008387744426728,0.1961210072040558,0.63971346616745,0.6361700296401978,0.6064687371253967,0.5768671035766602,0.5589773654937744,0.5521374940872192,0.4813801050186157,0.5202273726463318,0.4811892509460449,0.48838844895362854,0.4852380156517029,0.4831620752811432
years,editions,person_1433,anys,edicions,Catalan,RN,ca,0.17464333772659302,0.14794126152992249,0.14073073863983154,0.13350412249565125,0.13450253009796145,0.13393984735012054,0.32125627994537354,0.301451176404953,0.2902902960777283,0.2870282530784607,0.28676021099090576,0.2873286008834839,0.09032896906137466,0.07570505142211914,0.07650628685951233,0.06512054800987244,0.06904895603656769,0.06971555948257446,0.4140549302101135,0.3996022939682007,0.3802775740623474,0.3907734751701355,0.3768059015274048,0.3631807267665863,0.4508124887943268,0.4312551021575928,0.3990258276462555,0.4044190049171448,0.40297192335128784,0.40200746059417725
sincerely,faithfully,person_2132,sincerament,fidelment,Catalan,RY,ca,0.34077179431915283,0.32544708251953125,0.3217964768409729,0.2979416847229004,0.2894834578037262,0.2768603563308716,0.2751428782939911,0.27590692043304443,0.2895409464836121,0.2899819612503052,0.2891799211502075,0.28911322355270386,0.33496326208114624,0.30807402729988104,0.2708606719970703,0.2648465633392334,0.26764702796936035,0.2606129050254822,0.6742517948150635,0.6800410747528076,0.6856324672698975,0.6841573715209961,0.6841802000999451,0.6877626180648804,0.5876960754394531,0.5876381397247314,0.5855390429496765,0.5744726657867432,0.5648456811904907,0.5630091428756714
actor,character,person_1826,actor,caràcter,Catalan,RN,ca,0.4227777719497681,0.4070366322994232,0.3687728047370911,0.3429889678955078,0.32668426632881165,0.3154010772705078,0.2295271456241608,0.2336466610431671,0.24239493906497955,0.25501179695129395,0.2641641199588776,0.2665989100933075,0.40516728162765503,0.37971964478492737,0.3443579375743866,0.3385950326919556,0.3313913345336914,0.3357216417789459,0.6093065738677979,0.5984057188034058,0.5547428131103516,0.538742184638977,0.5178852081298828,0.5145934224128723,0.49863767623901367,0.4819619655609131,0.47325313091278076,0.46546339988708496,0.4655395746231079,0.4610896408557892
financial,economical,person_2132,financera,econòmica,Catalan,RJ,ca,0.23791909217834475,0.2291310429573059,0.21435517072677607,0.1908281296491623,0.1920834481716156,0.1845259666442871,0.7152676582336426,0.6903789043426514,0.6701573133468628,0.6359592080116272,0.6231465339660645,0.6085879802703857,0.03576575964689255,0.057397693395614624,0.0562579333782196,0.06515218317508698,0.06887423992156982,0.06742511689662932,0.5910894870758057,0.5566763877868652,0.5546713471412659,0.5333938002586365,0.5202897787094116,0.5131399631500244,0.8368475437164307,0.798039972782135,0.7842397689819336,0.7636098861694336,0.7429490685462952,0.7310210466384888
