c,i,id,l1_c,l1_i,language,type,code,l2_sim_cc_5,l2_sim_cc_10,l2_sim_cc_25,l2_sim_cc_50,l2_sim_cc_75,l2_sim_cc_100,l1_sim_cc_5,l1_sim_cc_10,l1_sim_cc_25,l1_sim_cc_50,l1_sim_cc_75,l1_sim_cc_100,case_id
plans,projects,person_2799,plans,projectes,Catalan,RN,ca,0.3159140646457672,0.2895716726779938,0.26110583543777466,0.24644622206687927,0.2355959713459015,0.22892224788665771,0.5340597629547119,0.5097456574440002,0.513301432132721,0.5082491040229797,0.4973651170730591,0.49427539110183716,case_0001
waste,lose,person_2421,malgastar,perdre,Catalan,RV,ca,0.1971191167831421,0.17589223384857178,0.16416317224502563,0.14997021853923798,0.14902564883232117,0.14287534356117249,0.46330130100250244,0.4509187340736389,0.4258948564529419,0.4184494614601135,0.41407886147499084,0.41116422414779663,case_0002
ending,end,person_1465,final,final,Catalan,RN,ca,0.591592013835907,0.5009773969650269,0.44304218888282776,0.4028881788253784,0.3875984847545624,0.3799772262573242,0.7943584322929382,0.7532747387886047,0.7080569267272949,0.666229248046875,0.6372929811477661,0.616534948348999,case_0003
shot,view,person_1465,disparat,mostra,Catalan,RN,ca,0.21040001511573792,0.18749487400054932,0.18507027626037598,0.1897050142288208,0.16730043292045593,0.16179297864437103,0.24688412249088287,0.24868354201316833,0.2373380959033966,0.22295759618282318,0.22579607367515564,0.22258687019348145,case_0004
do,join,person_1465,fer,unir,Catalan,RV,ca,0.22547751665115356,0.19497139751911163,0.20145249366760254,0.19756978750228882,0.19257080554962158,0.18941417336463928,0.5013058185577393,0.4736231565475464,0.45195305347442627,0.44433364272117615,0.45424866676330566,0.4567791819572449,case_0005
shot,view,person_1465,disparat,mostra,Catalan,RN,ca,0.21040001511573792,0.18749487400054932,0.18507027626037598,0.1897050142288208,0.16730043292045593,0.16179297864437103,0.24688412249088287,0.24868354201316833,0.2373380959033966,0.22295759618282318,0.22579607367515564,0.22258687019348145,case_0006
ask,do,person_1465,preguntar,fer,Catalan,RV,ca,0.43249982595443726,0.42405253648757935,0.40159574151039124,0.3957078456878662,0.3775289058685303,0.3787620961666107,0.4246767461299896,0.3984907269477844,0.3973550498485565,0.39612871408462524,0.3956272602081299,0.4013746380805969,case_0007
been,done,person_1465,estat,fet,Catalan,RV,ca,0.4349801540374756,0.41187024116516113,0.385986328125,0.3786829113960266,0.36118340492248535,0.35505348443984985,0.4627220630645752,0.4582497477531433,0.45646563172340393,0.4359118342399597,0.4223122000694275,0.4211565852165222,case_0008
especially,specially,person_2421,especialment,especialment,Catalan,RY,ca,0.34219878911972046,0.33667248487472534,0.2956363558769226,0.2686932384967804,0.2626763582229614,0.2625589668750763,0.8270228505134583,0.7514426708221436,0.6767886281013489,0.6352691650390625,0.6150892376899719,0.602047324180603,case_0009
experienced,trained,person_1465,experimentats,entrenat,Catalan,RJ,ca,0.40752723813056946,0.39028310775756836,0.3710111379623413,0.3945541977882385,0.3730620741844177,0.3608925938606262,0.33240562677383423,0.33896422386169434,0.3290424644947052,0.31349605321884155,0.3144671320915222,0.31130391359329224,case_0010
main,principal,person_1883,principal,director,Catalan,RJ,ca,0.3299005925655365,0.27690067887306213,0.2935260534286499,0.2494003027677536,0.22634342312812805,0.2127441167831421,0.31493914127349854,0.3122211992740631,0.31143835186958313,0.3061390221118927,0.3007189631462097,0.2994164228439331,case_0011
see,know,person_1883,veure,saber,Catalan,RV,ca,0.6210205554962158,0.5691430568695068,0.534419059753418,0.4976871609687805,0.4785073399543762,0.4648357331752777,0.5733609199523926,0.568507194519043,0.5662304162979126,0.5483819246292114,0.5445733666419983,0.5390862226486206,case_0012
would,should,person_1883,vols,hauria,Catalan,RV,ca,0.6448183655738831,0.6456886529922485,0.5800858736038208,0.5456504821777344,0.5286440849304199,0.526125431060791,0.32924574613571167,0.32962948083877563,0.30330532789230347,0.3048263192176819,0.30508095026016235,0.29791027307510376,case_0013
conduct,make,person_1883,terme,fer,Catalan,RV,ca,0.1540442705154419,0.1490042507648468,0.15146639943122864,0.15643233060836792,0.15643909573554993,0.15288975834846497,0.4184524416923523,0.38957324624061584,0.3489271402359009,0.33117395639419556,0.32210689783096313,0.3248363137245178,case_0014
faithfully,sincerely,person_1883,fidelment,sincerament,Catalan,RY,ca,0.34077179431915283,0.32544708251953125,0.3217964768409729,0.2979416847229004,0.2894834578037262,0.2768603563308716,0.2751428782939911,0.27590692043304443,0.28954094648361206,0.2899819612503052,0.2891799211502075,0.28911322355270386,case_0015
tell,inform,person_1883,dir,informar,Catalan,RV,ca,0.42981475591659546,0.4115571975708008,0.406621515750885,0.379605770111084,0.36592957377433777,0.35245996713638306,0.4676075279712677,0.4715292453765869,0.46823158860206604,0.4579755961894989,0.4517093300819397,0.44861555099487305,case_0016
