code,language,len,absent_percent,absent
ca,Catalan,371,0.01078167115902965,didnt
ca,Catalan,371,0.01078167115902965,instal·lacions
ca,Catalan,371,0.01078167115902965,wouldnt
ca,Catalan,371,0.01078167115902965,sol·licitat
zh,Chinese (Simplified),362,0.008287292817679558,标志着
zh,Chinese (Simplified),362,0.008287292817679558,航空公司
zh,Chinese (Simplified),362,0.008287292817679558,电子邮件
fr,French,727,0.002751031636863824,jusqu'à
fr,French,727,0.002751031636863824,sûrté
de,German,348,0.008620689655172414,hadnt
de,German,348,0.008620689655172414,roben
de,German,348,0.008620689655172414,wiles
el,Greek,406,0.009852216748768473,hadnt
el,Greek,406,0.009852216748768473,crating
el,Greek,406,0.009852216748768473,κουμπίεπόμενο
el,Greek,406,0.009852216748768473,προι4στάμενο
ja,Japanese,324,0.1388888888888889,得た
ja,Japanese,324,0.1388888888888889,ならない
ja,Japanese,324,0.1388888888888889,選んだ
ja,Japanese,324,0.1388888888888889,持って
ja,Japanese,324,0.1388888888888889,もたらした
ja,Japanese,324,0.1388888888888889,会った
ja,Japanese,324,0.1388888888888889,言った
ja,Japanese,324,0.1388888888888889,振る舞った
ja,Japanese,324,0.1388888888888889,でした
ja,Japanese,324,0.1388888888888889,される
ja,Japanese,324,0.1388888888888889,だった
ja,Japanese,324,0.1388888888888889,見て
ja,Japanese,324,0.1388888888888889,示した
ja,Japanese,324,0.1388888888888889,示します
ja,Japanese,324,0.1388888888888889,戻って
ja,Japanese,324,0.1388888888888889,できます
ja,Japanese,324,0.1388888888888889,だろう
ja,Japanese,324,0.1388888888888889,過ごした
ja,Japanese,324,0.1388888888888889,遊んで
ja,Japanese,324,0.1388888888888889,壊れた
ja,Japanese,324,0.1388888888888889,行きました
ja,Japanese,324,0.1388888888888889,気づいた
ja,Japanese,324,0.1388888888888889,語った
ja,Japanese,324,0.1388888888888889,来た
ja,Japanese,324,0.1388888888888889,知って
ja,Japanese,324,0.1388888888888889,かもしれない
ja,Japanese,324,0.1388888888888889,かかわって
ja,Japanese,324,0.1388888888888889,与えて
ja,Japanese,324,0.1388888888888889,歩いて
ja,Japanese,324,0.1388888888888889,運んだ
ja,Japanese,324,0.1388888888888889,取った
ja,Japanese,324,0.1388888888888889,受け取った
ja,Japanese,324,0.1388888888888889,述べて
ja,Japanese,324,0.1388888888888889,荒れ果てた
ja,Japanese,324,0.1388888888888889,なくなって
ja,Japanese,324,0.1388888888888889,見た
ja,Japanese,324,0.1388888888888889,電子メール
ja,Japanese,324,0.1388888888888889,されて
ja,Japanese,324,0.1388888888888889,やって
ja,Japanese,324,0.1388888888888889,作った
ja,Japanese,324,0.1388888888888889,続きます
ja,Japanese,324,0.1388888888888889,考えた
ja,Japanese,324,0.1388888888888889,高さ
ja,Japanese,324,0.1388888888888889,魅力的
ja,Japanese,324,0.1388888888888889,伴います
pl,Polish,376,0.007978723404255319,luÿny
pl,Polish,376,0.007978723404255319,avenging
pl,Polish,376,0.007978723404255319,cooka
th,Thai,120,0.025,ซับซ้อน
th,Thai,120,0.025,ไอเดีย
th,Thai,120,0.025,น.
tr,Turkish,324,0.015432098765432098,-larından
tr,Turkish,324,0.015432098765432098,-ını
tr,Turkish,324,0.015432098765432098,hadnt
tr,Turkish,324,0.015432098765432098,-bilirsiniz
tr,Turkish,324,0.015432098765432098,-mıyorum
