c,i,id,l1_c,l1_i,language,type,code,english_overlap
suggest,propose,person_624,предложить,предлагаем,Russian,RV,ru,0.4434566005792623
think,suppose,person_624,думаю,предположим,Russian,RV,ru,0.6619587037605348
public,people,person_624,общественности,людей,Russian,RN,ru,0.19164723591620708
sincerely,faithfully,person_624,искренне,добросовестно,Russian,RY,ru,0.3185136213547491
familiar,common,person_624,знакомы,общие,Russian,RJ,ru,0.29884945912879424
do,make,person_624,сделать,сделать,Russian,RV,ru,0.3857835826030168
acquiring,getting,person_342,приобретения,получение,Russian,RV,ru,0.2824796071104679
dance,dancing,person_342,танец,танцы,Russian,RN,ru,0.6880393991234954
sincerely,faithfully,person_342,искренне,добросовестно,Russian,RY,ru,0.3185136213547491
person,man,person_342,человека,человек,Russian,RN,ru,0.3929755314158895
talk,speak,person_2251,говорить,говорить,Russian,RV,ru,0.2823262678244861
normal,usual,person_2251,нормальной,обычно,Russian,RJ,ru,0.31997941892403775
opportunity,possibility,person_1003,возможность,возможность,Russian,RN,ru,0.2976703341602577
really,extremely,person_1003,действительно,чрезвычайно,Russian,RY,ru,0.43740171377297676
have,make,person_1003,иметь,сделать,Russian,RV,ru,0.27043723827473015
also,then,person_1003,также,затем,Russian,RY,ru,0.31544954698258454
also,then,person_1003,также,затем,Russian,RY,ru,0.31544954698258454
have,make,person_1003,иметь,сделать,Russian,RV,ru,0.27043723827473015
wait,stay,person_1003,подожди,остаться,Russian,RV,ru,0.17601508011649986
premises,territory,person_1003,помещения,территории,Russian,RN,ru,0.14139319737472394
fantastical,fantastic,person_350,фантастических,фантастический,Russian,RJ,ru,0.3011802329967299
fantastical,fantastic,person_350,фантастических,фантастический,Russian,RJ,ru,0.3011802329967299
have,make,person_257,иметь,сделать,Russian,RV,ru,0.27043723827473015
wanted,could,person_257,хотел,мог,Russian,RV,ru,0.49643300302026305
learned,knew,person_257,узнал,знал,Russian,RV,ru,0.39751659578519044
work,job,person_257,работы,работу,Russian,RN,ru,0.4075042245178163
talk,tell,person_257,говорить,сказать,Russian,RV,ru,0.3278195235020621
very,so,person_1852,очень,так,Russian,RY,ru,0.41379074142976513
faraway,far,person_1852,далекие,далеко,Russian,RJ,ru,0.23019797411535212
very,too,person_1852,очень,слишком,Russian,RY,ru,0.5375393488205544
ordinary,common,person_1852,обычные,общие,Russian,RJ,ru,0.2518592711755224
get,have,person_1852,получить,иметь,Russian,RV,ru,0.46326255603942595
create,make,person_1852,создать,сделать,Russian,RV,ru,0.3869164170126136
attended,visited,person_458,присутствовал,посетили,Russian,RV,ru,0.346641813331688
think,suppose,person_458,думаю,предположим,Russian,RV,ru,0.6619587037605348
made,done,person_458,сделал,сделано,Russian,RV,ru,0.2661939435558714
could,may,person_458,мог,мая,Russian,RV,ru,0.6032919392089612
number,amount,person_458,номер,сумма,Russian,RN,ru,0.30578255562777357
attended,seen,person_1494,присутствовал,видел,Russian,RV,ru,0.25459212311128654
holding,making,person_1494,холдинг,делает,Russian,RV,ru,0.26867952526430827
got,go,person_1494,получил,пойти,Russian,RV,ru,0.28615368170165995
false,wrong,person_546,ложных,неверной,Russian,RJ,ru,0.3200344240261775
cast,actors,person_546,литой,актеры,Russian,RN,ru,0.38121999433840814
appear,play,person_546,появляются,играть,Russian,RV,ru,0.1511599416601747
enclosed,included,person_546,закрытых,включены,Russian,RJ,ru,0.21311475516986161
helpful,convenient,person_546,полезная,удобно,Russian,RJ,ru,0.29721378297650375
take,deliver,person_546,принять,доставить,Russian,RV,ru,0.22229949409357364
sit,seat,person_2296,сидеть,сиденье,Russian,RV,ru,0.304931283643323
change,turn,person_2296,изменить,превратить,Russian,RV,ru,0.24686692873598506
channels,chances,person_2296,каналами,шансы,Russian,RV,ru,0.01677568289779549
prevent,stop,person_2296,предотвратить,остановить,Russian,RV,ru,0.29725852033802946
act,play,person_1400,действовать,играть,Russian,RV,ru,0.1980845844584022
ordinary,common,person_1400,обычные,общие,Russian,RJ,ru,0.2518592711755224
draw,make,person_1400,нарисовать,сделать,Russian,RV,ru,0.18714508672933167
ordinary,common,person_1400,обычные,общие,Russian,RJ,ru,0.2518592711755224
illegitimate,illegal,person_609,нелегитимными,незаконной,Russian,RJ,ru,0.3473559666573699
without,not,person_2709,без,не,Russian,RY,ru,0.34031517369025455
organisation,arrangement,person_1943,организации,договоренности,Russian,RN,ru,0.16240604505597722
said,saw,person_1943,сказал,видел,Russian,RV,ru,0.308057614546312
acting,play,person_1981,действуя,игры,Russian,RN,ru,0.17357104363318518
operating,entering,person_1981,рабочая,ввода,Russian,RV,ru,0.16928068991923903
show,program,person_2380,шоу,программа,Russian,RN,ru,0.2151021379012342
dinner,diner,person_2380,ужин,закусочная,Russian,RN,ru,0.3927114156582677
aim,reason,person_2380,цель,причина,Russian,RN,ru,0.20216733307758133
delighted,delightful,person_2380,восторге,восхитительный,Russian,RJ,ru,0.3780555554653048
history,historical,person_2380,истории,исторические,Russian,RJ,ru,0.3979101932733057
